# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa (post filter),W60,33,1.191992,-0.099069,-0.100568,0.001499,0.1143,-0.000254,0.003172,0.000674,0.007109
(i) Δa (post filter),global (run-level prediction),33,1.327324,-0.106470,0.000000,-0.106470,0.0001,-0.112607,-0.099243,nan,nan
(i) Δa (post filter),global (period-level prediction),33,1.327324,-0.106470,-0.110444,0.003974,0.0212,0.000871,0.006789,nan,nan
(i) Δa (post filter),W60,34,1.187738,-0.092269,-0.093479,0.001211,0.3892,-0.001339,0.003701,-0.000117,0.006514
(i) Δa (post filter),global (run-level prediction),34,1.324709,-0.101749,-0.000000,-0.101749,0.0001,-0.107837,-0.095436,nan,nan
(i) Δa (post filter),global (period-level prediction),34,1.324709,-0.101749,-0.106402,0.004652,0.0211,0.001475,0.007883,nan,nan
(i) Δa (post filter),W60,35,1.187055,-0.091442,-0.095489,0.004047,0.0127,0.001680,0.006662,-0.000460,0.005727
(i) Δa (post filter),global (run-level prediction),35,1.326851,-0.101608,-0.000000,-0.101608,0.0001,-0.109013,-0.093362,nan,nan
(i) Δa (post filter),global (period-level prediction),35,1.326851,-0.101608,-0.108798,0.007190,0.0027,0.003563,0.010581,nan,nan
(i) Δa (post filter),W60,36,1.186894,-0.092599,-0.095197,0.002598,0.0281,0.000738,0.004593,-0.000379,0.007411
(i) Δa (post filter),global (run-level prediction),36,1.326433,-0.102117,-0.000000,-0.102117,0.0001,-0.107925,-0.096265,nan,nan
(i) Δa (post filter),global (period-level prediction),36,1.326433,-0.102117,-0.106983,0.004866,0.0339,0.000987,0.008347,nan,nan
(i) Δa (post filter),W60,37,1.186180,-0.093535,-0.096324,0.002789,0.0690,0.000003,0.005293,-0.000703,0.007582
(i) Δa (post filter),global (run-level prediction),37,1.327302,-0.110072,-0.000000,-0.110072,0.0001,-0.117847,-0.103099,nan,nan
(i) Δa (post filter),global (period-level prediction),37,1.327302,-0.110072,-0.110835,0.000763,0.6625,-0.002419,0.004038,nan,nan
(i) Δa (post filter),W60,38,1.186952,-0.093700,-0.097323,0.003622,0.0244,0.000918,0.006233,-0.000287,0.005540
(i) Δa (post filter),global (run-level prediction),38,1.323152,-0.107104,0.000000,-0.107104,0.0001,-0.111700,-0.102126,nan,nan
(i) Δa (post filter),global (period-level prediction),38,1.323152,-0.107104,-0.111047,0.003942,0.0748,0.000165,0.007582,nan,nan
(i) Δa (post filter),W60,39,1.187181,-0.095532,-0.097749,0.002216,0.0536,0.000293,0.004252,0.000014,0.008438
(i) Δa (post filter),global (run-level prediction),39,1.324290,-0.108771,-0.000000,-0.108771,0.0001,-0.116125,-0.101661,nan,nan
(i) Δa (post filter),global (period-level prediction),39,1.324290,-0.108771,-0.110330,0.001559,0.5415,-0.003362,0.006404,nan,nan
(i) Δa (post filter),W60,40,1.189974,-0.099510,-0.098964,-0.000546,0.7174,-0.003545,0.002290,0.000051,0.008384
(i) Δa (post filter),global (run-level prediction),40,1.326311,-0.100600,0.000000,-0.100600,0.0001,-0.105236,-0.095615,nan,nan
(i) Δa (post filter),global (period-level prediction),40,1.326311,-0.100600,-0.108790,0.008190,0.0001,0.006490,0.009939,nan,nan
(i) Δa (post filter),W60,41,1.185584,-0.091185,-0.094537,0.003352,0.0020,0.001854,0.004812,-0.000433,0.005853
(i) Δa (post filter),global (run-level prediction),41,1.325749,-0.107826,-0.000000,-0.107826,0.0001,-0.113510,-0.101669,nan,nan
(i) Δa (post filter),global (period-level prediction),41,1.325749,-0.107826,-0.110674,0.002848,0.0931,-0.000268,0.005607,nan,nan
(i) Δa (post filter),W60,42,1.188689,-0.093425,-0.095842,0.002417,0.0916,0.000046,0.004846,-0.000146,0.008045
(i) Δa (post filter),global (run-level prediction),42,1.328014,-0.104628,0.000000,-0.104628,0.0001,-0.112091,-0.096957,nan,nan
(i) Δa (post filter),global (period-level prediction),42,1.328014,-0.104628,-0.111751,0.007122,0.0012,0.004257,0.009722,nan,nan
(i) Δa (post filter),W60,43,1.190852,-0.091191,-0.093360,0.002169,0.0360,0.000396,0.004104,-0.000122,0.007992
(i) Δa (post filter),global (run-level prediction),43,1.329572,-0.104597,0.000000,-0.104597,0.0001,-0.109524,-0.099652,nan,nan
(i) Δa (post filter),global (period-level prediction),43,1.329572,-0.104597,-0.108802,0.004205,0.0201,0.001029,0.006889,nan,nan
(i) Δa (post filter),W60,44,1.188501,-0.091135,-0.095698,0.004563,0.0018,0.002520,0.006459,0.000374,0.004773
(i) Δa (post filter),global (run-level prediction),44,1.324666,-0.099722,-0.000000,-0.099722,0.0001,-0.104718,-0.095124,nan,nan
(i) Δa (post filter),global (period-level prediction),44,1.324666,-0.099722,-0.106036,0.006314,0.0250,0.002044,0.010770,nan,nan
(i) Δa (post filter),W60,45,1.190351,-0.096669,-0.102626,0.005957,0.0001,0.004343,0.007575,-0.000263,0.004462
(i) Δa (post filter),global (run-level prediction),45,1.330572,-0.109966,0.000000,-0.109966,0.0001,-0.114620,-0.105700,nan,nan
