# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = −0.02,global (period-level prediction),5,1.335881,0.001764,0.002094,-0.000330,0.8998,-0.005235,0.004328,nan,nan
(ii) Δc = −0.02,W60,6,1.183560,0.002542,0.001674,0.000868,0.5634,-0.002089,0.003596,-0.000107,-0.000366
(ii) Δc = −0.02,global (run-level prediction),6,1.330616,0.002413,0.000000,0.002413,0.6038,-0.005229,0.011329,nan,nan
(ii) Δc = −0.02,global (period-level prediction),6,1.330616,0.002413,0.000159,0.002253,0.1465,-0.000352,0.005056,nan,nan
(ii) Δc = −0.02,W60,7,1.192301,-0.002615,-0.002547,-0.000068,0.9601,-0.002596,0.002577,-0.000109,-0.001074
(ii) Δc = −0.02,global (run-level prediction),7,1.340070,-0.001644,-0.000000,-0.001644,0.5950,-0.007433,0.004119,nan,nan
(ii) Δc = −0.02,global (period-level prediction),7,1.340070,-0.001644,-0.003867,0.002223,0.3119,-0.001634,0.006521,nan,nan
(ii) Δc = −0.02,W60,8,1.183676,0.002062,0.004113,-0.002051,0.1782,-0.004609,0.000742,-0.000206,0.001163
(ii) Δc = −0.02,global (run-level prediction),8,1.328811,0.005410,-0.000000,0.005410,0.1912,-0.001861,0.012987,nan,nan
(ii) Δc = −0.02,global (period-level prediction),8,1.328811,0.005410,0.002125,0.003285,0.0535,0.000550,0.006253,nan,nan
(ii) Δc = −0.02,W60,9,1.186146,0.001666,0.001950,-0.000285,0.8417,-0.002870,0.002288,-0.000213,0.000580
(ii) Δc = −0.02,global (run-level prediction),9,1.333065,0.006301,-0.000000,0.006301,0.0358,0.001626,0.011367,nan,nan
(ii) Δc = −0.02,global (period-level prediction),9,1.333065,0.006301,0.005772,0.000528,0.7512,-0.002619,0.003770,nan,nan
(ii) Δc = −0.02,W60,10,1.184673,0.000525,0.001733,-0.001208,0.2211,-0.003164,0.000469,-0.000473,0.000329
(ii) Δc = −0.02,global (run-level prediction),10,1.331365,0.001240,0.000000,0.001240,0.6799,-0.003472,0.006817,nan,nan
(ii) Δc = −0.02,global (period-level prediction),10,1.331365,0.001240,0.001083,0.000157,0.9515,-0.004549,0.004837,nan,nan
(ii) Δc = −0.02,W60,11,1.190591,-0.001652,-0.000415,-0.001236,0.3447,-0.003752,0.000973,-0.001130,-0.000071
(ii) Δc = −0.02,global (run-level prediction),11,1.337739,-0.002276,0.000000,-0.002276,0.2697,-0.006019,0.001586,nan,nan
(ii) Δc = −0.02,global (period-level prediction),11,1.337739,-0.002276,-0.001207,-0.001069,0.7277,-0.006993,0.004877,nan,nan
(ii) Δc = −0.02,W60,12,1.189120,-0.000007,0.001502,-0.001509,0.2917,-0.004000,0.001353,-0.000258,-0.001130
(ii) Δc = −0.02,global (run-level prediction),12,1.335873,0.000919,0.000000,0.000919,0.7880,-0.005615,0.007249,nan,nan
(ii) Δc = −0.02,global (period-level prediction),12,1.335873,0.000919,-0.000154,0.001073,0.6516,-0.003315,0.005661,nan,nan
(ii) Δc = −0.02,W60,13,1.191299,-0.000391,0.001013,-0.001403,0.2507,-0.003637,0.000923,-0.001199,0.000065
(ii) Δc = −0.02,global (run-level prediction),13,1.338786,0.003585,-0.000000,0.003585,0.1863,-0.001159,0.008452,nan,nan
(ii) Δc = −0.02,global (period-level prediction),13,1.338786,0.003585,0.000558,0.003027,0.0359,0.000578,0.005680,nan,nan
(ii) Δc = −0.02,W60,14,1.187863,0.005606,0.004289,0.001317,0.2434,-0.000636,0.003248,-0.000271,0.001125
(ii) Δc = −0.02,global (run-level prediction),14,1.333366,0.003527,-0.000000,0.003527,0.2679,-0.002342,0.008882,nan,nan
(ii) Δc = −0.02,global (period-level prediction),14,1.333366,0.003527,0.002893,0.000634,0.7581,-0.003197,0.003782,nan,nan
(ii) Δc = −0.02,W60,15,1.189469,-0.002570,-0.002339,-0.000232,0.8583,-0.002569,0.001955,-0.000149,0.000298
(ii) Δc = −0.02,global (run-level prediction),15,1.336636,-0.001169,0.000000,-0.001169,0.6987,-0.006663,0.004272,nan,nan
(ii) Δc = −0.02,global (period-level prediction),15,1.336636,-0.001169,-0.002907,0.001738,0.2820,-0.000671,0.004798,nan,nan
(ii) Δc = −0.02,W60,16,1.190498,0.003045,0.001517,0.001528,0.2335,-0.000856,0.003817,-0.000201,-0.000196
(ii) Δc = −0.02,global (run-level prediction),16,1.339550,-0.003593,-0.000000,-0.003593,0.1362,-0.007652,0.000557,nan,nan
(ii) Δc = −0.02,global (period-level prediction),16,1.339550,-0.003593,-0.001851,-0.001741,0.4333,-0.006318,0.002179,nan,nan
(ii) Δc = −0.02,W60,17,1.189119,0.000789,0.000089,0.000700,0.5452,-0.001696,0.002724,-0.000656,-0.000484
(ii) Δc = −0.02,global (run-level prediction),17,1.337900,0.001474,-0.000000,0.001474,0.6804,-0.004865,0.007949,nan,nan
(ii) Δc = −0.02,global (period-level prediction),17,1.337900,0.001474,0.000346,0.001128,0.6060,-0.002749,0.005179,nan,nan
(ii) Δc = −0.02,W60,18,1.184298,-0.001132,-0.000217,-0.000915,0.5739,-0.003793,0.002142,-0.000101,-0.001463
(ii) Δc = −0.02,global (run-level prediction),18,1.330399,-0.000705,-0.000000,-0.000705,0.8608,-0.007944,0.007655,nan,nan
(ii) Δc = −0.02,global (period-level prediction),18,1.330399,-0.000705,-0.002673,0.001968,0.3339,-0.001738,0.005538,nan,nan
(ii) Δc = −0.02,W60,19,1.191063,0.001475,0.001026,0.000449,0.7781,-0.002233,0.003348,-0.000339,0.000798
(ii) Δc = −0.02,global (run-level prediction),19,1.339822,-0.001774,0.000000,-0.001774,0.6500,-0.009080,0.005741,nan,nan
(ii) Δc = −0.02,global (period-level prediction),19,1.339822,-0.001774,-0.000993,-0.000780,0.7502,-0.004889,0.003663,nan,nan
(ii) Δc = −0.02,W60,20,1.189092,-0.000053,-0.001905,0.001852,0.2109,-0.000833,0.004421,-0.000135,-0.000889
(ii) Δc = −0.02,global (run-level prediction),20,1.338170,-0.004858,-0.000000,-0.004858,0.0658,-0.009416,-0.000408,nan,nan
(ii) Δc = −0.02,global (period-level prediction),20,1.338170,-0.004858,-0.005294,0.000436,0.6885,-0.001725,0.002393,nan,nan
(ii) Δc = −0.02,W60,21,1.185619,0.000382,-0.001312,0.001695,0.1395,-0.000413,0.003640,-0.000650,0.000472
(ii) Δc = −0.02,global (run-level prediction),21,1.330592,0.004195,-0.000000,0.004195,0.0811,0.000001,0.008419,nan,nan
(ii) Δc = −0.02,global (period-level prediction),21,1.330592,0.004195,0.001384,0.002811,0.2610,-0.001273,0.007359,nan,nan
(ii) Δc = −0.02,W60,22,1.184246,0.003757,0.002596,0.001161,0.3555,-0.001036,0.003683,-0.000719,-0.000014
(ii) Δc = −0.02,global (run-level prediction),22,1.330943,0.004804,-0.000000,0.004804,0.0630,0.000378,0.009088,nan,nan
(ii) Δc = −0.02,global (period-level prediction),22,1.330943,0.004804,0.001166,0.003638,0.0750,-0.000119,0.007026,nan,nan
(ii) Δc = −0.02,W60,23,1.189346,-0.003026,-0.001607,-0.001419,0.2743,-0.003733,0.000825,-0.000655,0.001128
(ii) Δc = −0.02,global (run-level prediction),23,1.337808,-0.002363,0.000000,-0.002363,0.5656,-0.009861,0.005560,nan,nan
(ii) Δc = −0.02,global (period-level prediction),23,1.337808,-0.002363,-0.000973,-0.001391,0.5244,-0.005696,0.002628,nan,nan
(ii) Δc = −0.02,W60,24,1.185764,0.000812,0.001666,-0.000854,0.3333,-0.002508,0.000831,-0.000218,0.001533
(ii) Δc = −0.02,global (run-level prediction),24,1.336264,-0.004135,0.000000,-0.004135,0.3225,-0.011644,0.003840,nan,nan
(ii) Δc = −0.02,global (period-level prediction),24,1.336264,-0.004135,-0.002435,-0.001700,0.3950,-0.005488,0.001837,nan,nan
(ii) Δc = −0.02,W60,25,1.187248,0.000914,0.001919,-0.001005,0.3511,-0.003143,0.000982,-0.000406,-0.000521
(ii) Δc = −0.02,global (run-level prediction),25,1.334519,0.000945,-0.000000,0.000945,0.7620,-0.004758,0.006467,nan,nan
(ii) Δc = −0.02,global (period-level prediction),25,1.334519,0.000945,-0.000951,0.001896,0.2269,-0.000914,0.004871,nan,nan
(ii) Δc = −0.02,W60,26,1.185731,0.000255,-0.000368,0.000623,0.7257,-0.002685,0.003816,-0.000785,0.000016
(ii) Δc = −0.02,global (run-level prediction),26,1.332754,0.001241,0.000000,0.001241,0.7155,-0.004732,0.007621,nan,nan
(ii) Δc = −0.02,global (period-level prediction),26,1.332754,0.001241,-0.000361,0.001602,0.4711,-0.002636,0.005119,nan,nan
(ii) Δc = −0.02,W60,27,1.189485,-0.002119,-0.001245,-0.000874,0.5610,-0.003675,0.001932,-0.000239,0.001494
(ii) Δc = −0.02,global (run-level prediction),27,1.337708,-0.001960,-0.000000,-0.001960,0.5349,-0.007613,0.003752,nan,nan
(ii) Δc = −0.02,global (period-level prediction),27,1.337708,-0.001960,-0.001005,-0.000954,0.7101,-0.005562,0.003370,nan,nan
(ii) Δc = −0.02,W60,28,1.185338,0.000424,0.001816,-0.001392,0.2269,-0.003398,0.000733,-0.000691,0.000694
(ii) Δc = −0.02,global (run-level prediction),28,1.332885,0.000964,0.000000,0.000964,0.8231,-0.006688,0.007944,nan,nan
(ii) Δc = −0.02,global (period-level prediction),28,1.332885,0.000964,0.002078,-0.001114,0.7009,-0.006510,0.004114,nan,nan
(ii) Δc = −0.02,W60,29,1.189262,-0.001199,0.000299,-0.001499,0.2548,-0.003943,0.000767,-0.000387,-0.000276
(ii) Δc = −0.02,global (run-level prediction),29,1.333384,0.003721,-0.000000,0.003721,0.3198,-0.002736,0.010370,nan,nan
(ii) Δc = −0.02,global (period-level prediction),29,1.333384,0.003721,0.002562,0.001159,0.5929,-0.003128,0.005057,nan,nan
(ii) Δc = −0.02,W60,30,1.185536,-0.000596,-0.001442,0.000846,0.5455,-0.001781,0.003396,-0.000587,-0.000383
(ii) Δc = −0.02,global (run-level prediction),30,1.335640,-0.007417,0.000000,-0.007417,0.0454,-0.012881,-0.001361,nan,nan
(ii) Δc = −0.02,global (period-level prediction),30,1.335640,-0.007417,-0.004174,-0.003243,0.0950,-0.006555,0.000188,nan,nan
(ii) Δc = −0.02,W60,31,1.191124,-0.002076,-0.000918,-0.001158,0.2708,-0.003073,0.000704,-0.000964,-0.000581
(ii) Δc = −0.02,global (run-level prediction),31,1.339216,-0.000290,-0.000000,-0.000290,0.9453,-0.007643,0.008247,nan,nan
(ii) Δc = −0.02,global (period-level prediction),31,1.339216,-0.000290,-0.000522,0.000232,0.9095,-0.003406,0.004516,nan,nan
(ii) Δc = −0.02,W60,32,1.188427,0.000933,-0.000052,0.000985,0.5160,-0.001889,0.003588,-0.000391,0.001208
(ii) Δc = −0.02,global (run-level prediction),32,1.337691,-0.002428,-0.000000,-0.002428,0.3772,-0.007346,0.002482,nan,nan
(ii) Δc = −0.02,global (period-level prediction),32,1.337691,-0.002428,-0.000705,-0.001723,0.3103,-0.004853,0.001165,nan,nan
(ii) Δc = −0.02,W60,33,1.183751,-0.000806,-0.000710,-0.000095,0.9373,-0.002184,0.002026,-0.000595,-0.000384
(ii) Δc = −0.02,global (run-level prediction),33,1.327350,0.000925,-0.000000,0.000925,0.8037,-0.005583,0.007799,nan,nan
(ii) Δc = −0.02,global (period-level prediction),33,1.327350,0.000925,0.001793,-0.000868,0.7423,-0.005762,0.003284,nan,nan
(ii) Δc = −0.02,W60,34,1.186972,-0.005181,-0.003602,-0.001580,0.0441,-0.002820,-0.000333,-0.000393,0.001363
(ii) Δc = −0.02,global (run-level prediction),34,1.334020,-0.010915,0.000000,-0.010915,0.0054,-0.016097,-0.005004,nan,nan
(ii) Δc = −0.02,global (period-level prediction),34,1.334020,-0.010915,-0.005414,-0.005501,0.0073,-0.008515,-0.002190,nan,nan
(ii) Δc = −0.02,W60,35,1.186928,-0.002533,-0.003373,0.000839,0.5337,-0.001886,0.003200,-0.000548,-0.000150
(ii) Δc = −0.02,global (run-level prediction),35,1.335008,-0.002427,-0.000000,-0.002427,0.2856,-0.006633,0.001586,nan,nan
(ii) Δc = −0.02,global (period-level prediction),35,1.335008,-0.002427,-0.001082,-0.001345,0.4946,-0.005108,0.002354,nan,nan
(ii) Δc = −0.02,W60,36,1.182942,0.003206,0.002921,0.000285,0.8005,-0.001744,0.002275,-0.000562,-0.000453
(ii) Δc = −0.02,global (run-level prediction),36,1.331961,0.002694,0.000000,0.002694,0.4568,-0.004109,0.009418,nan,nan
(ii) Δc = −0.02,global (period-level prediction),36,1.331961,0.002694,0.000621,0.002074,0.2670,-0.001429,0.005443,nan,nan
(ii) Δc = −0.02,W60,37,1.188293,-0.000060,-0.003543,0.003482,0.0020,0.001635,0.005296,-0.000564,-0.000592
(ii) Δc = −0.02,global (run-level prediction),37,1.339286,-0.008981,-0.000000,-0.008981,0.0116,-0.014378,-0.003363,nan,nan
(ii) Δc = −0.02,global (period-level prediction),37,1.339286,-0.008981,-0.005443,-0.003538,0.1044,-0.007165,0.000078,nan,nan
(ii) Δc = −0.02,W60,38,1.187344,-0.006601,-0.004834,-0.001767,0.1460,-0.003783,0.000496,0.000329,0.000342
(ii) Δc = −0.02,global (run-level prediction),38,1.331827,-0.005883,-0.000000,-0.005883,0.0444,-0.011057,-0.001011,nan,nan
(ii) Δc = −0.02,global (period-level prediction),38,1.331827,-0.005883,-0.005741,-0.000142,0.9430,-0.003575,0.003176,nan,nan
(ii) Δc = −0.02,W60,39,1.188634,-0.001311,-0.000338,-0.000973,0.5034,-0.003795,0.001677,-0.000024,0.000586
(ii) Δc = −0.02,global (run-level prediction),39,1.334891,0.004421,0.000000,0.004421,0.0200,0.001215,0.007566,nan,nan
(ii) Δc = −0.02,global (period-level prediction),39,1.334891,0.004421,0.004043,0.000378,0.7961,-0.001954,0.003384,nan,nan
(ii) Δc = −0.02,W60,40,1.190177,0.000786,0.001466,-0.000680,0.5770,-0.002805,0.001641,-0.000833,-0.000081
(ii) Δc = −0.02,global (run-level prediction),40,1.338296,0.001627,-0.000000,0.001627,0.6227,-0.005130,0.007992,nan,nan
(ii) Δc = −0.02,global (period-level prediction),40,1.338296,0.001627,0.000975,0.000652,0.6965,-0.002611,0.003627,nan,nan
(ii) Δc = −0.02,W60,41,1.189173,-0.005383,-0.005630,0.000247,0.7635,-0.001371,0.001793,-0.000676,0.000787
(ii) Δc = −0.02,global (run-level prediction),41,1.332829,-0.003050,0.000000,-0.003050,0.4127,-0.009832,0.003750,nan,nan
(ii) Δc = −0.02,global (period-level prediction),41,1.332829,-0.003050,-0.002287,-0.000762,0.7554,-0.005151,0.003296,nan,nan
(ii) Δc = −0.02,W60,42,1.188589,0.003864,0.004366,-0.000502,0.7115,-0.002778,0.001433,-0.000386,0.000515
(ii) Δc = −0.02,global (run-level prediction),42,1.336326,0.003021,-0.000000,0.003021,0.2607,-0.001766,0.007787,nan,nan
(ii) Δc = −0.02,global (period-level prediction),42,1.336326,0.003021,0.002193,0.000829,0.6670,-0.002488,0.004211,nan,nan
(ii) Δc = −0.02,W60,43,1.188103,0.005763,0.004699,0.001064,0.2805,-0.000646,0.002772,-0.000648,-0.000911
(ii) Δc = −0.02,global (run-level prediction),43,1.336942,0.005455,-0.000000,0.005455,0.0760,0.000071,0.010654,nan,nan
(ii) Δc = −0.02,global (period-level prediction),43,1.336942,0.005455,0.003978,0.001477,0.3276,-0.001362,0.004047,nan,nan
(ii) Δc = −0.02,W60,44,1.187970,0.002653,0.002929,-0.000275,0.8273,-0.002618,0.001929,-0.000447,0.000163
(ii) Δc = −0.02,global (run-level prediction),44,1.336827,-0.000359,-0.000000,-0.000359,0.9294,-0.008050,0.006992,nan,nan
(ii) Δc = −0.02,global (period-level prediction),44,1.336827,-0.000359,0.001438,-0.001797,0.3998,-0.005662,0.002309,nan,nan
(ii) Δc = −0.02,W60,45,1.189231,-0.003761,-0.002595,-0.001166,0.3397,-0.003321,0.000889,-0.000166,0.001456
(ii) Δc = −0.02,global (run-level prediction),45,1.335278,-0.001295,0.000000,-0.001295,0.6882,-0.007369,0.005177,nan,nan
(ii) Δc = −0.02,global (period-level prediction),45,1.335278,-0.001295,-0.001210,-0.000086,0.9659,-0.003710,0.003701,nan,nan
(ii) Δc = −0.02,W60,46,1.189804,-0.001070,-0.002364,0.001294,0.3845,-0.001319,0.003868,-0.000097,-0.000186
(ii) Δc = −0.02,global (run-level prediction),46,1.336511,-0.001276,0.000000,-0.001276,0.7328,-0.007938,0.005573,nan,nan
(ii) Δc = −0.02,global (period-level prediction),46,1.336511,-0.001276,-0.003455,0.002179,0.2533,-0.000851,0.005606,nan,nan
(ii) Δc = −0.02,W60,47,1.188708,-0.003192,-0.001842,-0.001350,0.3645,-0.004142,0.001128,-0.000060,0.000172
(ii) Δc = −0.02,global (run-level prediction),47,1.339210,-0.005358,0.000000,-0.005358,0.2233,-0.012654,0.002877,nan,nan
(ii) Δc = −0.02,global (period-level prediction),47,1.339210,-0.005358,-0.001909,-0.003449,0.2749,-0.009298,0.002404,nan,nan
(ii) Δc = −0.02,W60,48,1.190606,-0.000637,0.000079,-0.000717,0.4788,-0.002518,0.001206,-0.000413,0.000050
(ii) Δc = −0.02,global (run-level prediction),48,1.339121,0.000636,0.000000,0.000636,0.8722,-0.006565,0.007721,nan,nan
(ii) Δc = −0.02,global (period-level prediction),48,1.339121,0.000636,0.000076,0.000560,0.8527,-0.005320,0.006325,nan,nan
(ii) Δc = −0.02,W60,49,1.190591,0.000327,0.000190,0.000137,0.9108,-0.001922,0.002369,-0.000766,0.001327
(ii) Δc = −0.02,global (run-level prediction),49,1.339013,-0.003697,0.000000,-0.003697,0.2344,-0.009272,0.001457,nan,nan
(ii) Δc = −0.02,global (period-level prediction),49,1.339013,-0.003697,-0.002042,-0.001654,0.3680,-0.005510,0.001601,nan,nan
(ii) Δc = −0.02,W60,50,1.186423,0.001398,0.001312,0.000086,0.9358,-0.001690,0.002402,-0.000639,-0.000016
(ii) Δc = −0.02,global (run-level prediction),50,1.331865,0.002300,-0.000000,0.002300,0.5569,-0.004858,0.009084,nan,nan
(ii) Δc = −0.02,global (period-level prediction),50,1.331865,0.002300,0.002087,0.000213,0.9091,-0.003294,0.003483,nan,nan
(iii) Δa and Δc = +0.02,W60,1,1.186031,-0.091145,-0.094931,0.003786,0.0206,0.001258,0.006155,0.000352,0.006861
(iii) Δa and Δc = +0.02,global (run-level prediction),1,1.324440,-0.102520,-0.000000,-0.102520,0.0001,-0.108181,-0.096014,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),1,1.324440,-0.102520,-0.105479,0.002959,0.1638,-0.001047,0.006427,nan,nan
(iii) Δa and Δc = +0.02,W60,2,1.187465,-0.095011,-0.096104,0.001094,0.4634,-0.001779,0.003927,0.000764,0.006892
(iii) Δa and Δc = +0.02,global (run-level prediction),2,1.325792,-0.104629,0.000000,-0.104629,0.0001,-0.110979,-0.097749,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),2,1.325792,-0.104629,-0.109412,0.004783,0.0118,0.001812,0.007880,nan,nan
(iii) Δa and Δc = +0.02,W60,3,1.185924,-0.096405,-0.098913,0.002508,0.1086,-0.000157,0.005292,0.000928,0.006042
(iii) Δa and Δc = +0.02,global (run-level prediction),3,1.324972,-0.107940,0.000000,-0.107940,0.0001,-0.114623,-0.102049,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),3,1.324972,-0.107940,-0.110992,0.003052,0.1322,-0.000548,0.006623,nan,nan
(iii) Δa and Δc = +0.02,W60,4,1.186187,-0.096806,-0.099201,0.002395,0.1492,-0.000611,0.005207,0.000980,0.005962
(iii) Δa and Δc = +0.02,global (run-level prediction),4,1.324354,-0.104616,0.000000,-0.104616,0.0001,-0.111269,-0.098250,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),4,1.324354,-0.104616,-0.109579,0.004964,0.0126,0.001823,0.008205,nan,nan
(iii) Δa and Δc = +0.02,W60,5,1.187543,-0.094176,-0.097855,0.003679,0.0015,0.001968,0.005600,0.000759,0.008143
(iii) Δa and Δc = +0.02,global (run-level prediction),5,1.327352,-0.106930,0.000000,-0.106930,0.0001,-0.113678,-0.100782,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),5,1.327352,-0.106930,-0.111544,0.004614,0.0607,0.000499,0.008549,nan,nan
(iii) Δa and Δc = +0.02,W60,6,1.193579,-0.098954,-0.101838,0.002883,0.0835,-0.000136,0.005575,0.000246,0.007570
(iii) Δa and Δc = +0.02,global (run-level prediction),6,1.330185,-0.108080,-0.000000,-0.108080,0.0001,-0.113865,-0.102703,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),6,1.330185,-0.108080,-0.112774,0.004694,0.0073,0.002144,0.007318,nan,nan
(iii) Δa and Δc = +0.02,W60,7,1.188014,-0.092881,-0.095476,0.002594,0.0093,0.000929,0.004176,0.000451,0.007412
(iii) Δa and Δc = +0.02,global (run-level prediction),7,1.327431,-0.103323,0.000000,-0.103323,0.0001,-0.109259,-0.097744,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),7,1.327431,-0.103323,-0.107000,0.003677,0.0385,0.000723,0.006736,nan,nan
(iii) Δa and Δc = +0.02,W60,8,1.187135,-0.092310,-0.094124,0.001813,0.1570,-0.000402,0.004002,0.000580,0.006177
(iii) Δa and Δc = +0.02,global (run-level prediction),8,1.325226,-0.106280,-0.000000,-0.106280,0.0001,-0.111420,-0.101415,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),8,1.325226,-0.106280,-0.110730,0.004450,0.0867,-0.000138,0.009340,nan,nan
(iii) Δa and Δc = +0.02,W60,9,1.187194,-0.097861,-0.100558,0.002697,0.0950,0.000069,0.005468,0.000297,0.006687
(iii) Δa and Δc = +0.02,global (run-level prediction),9,1.324819,-0.105403,-0.000000,-0.105403,0.0001,-0.109968,-0.100864,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),9,1.324819,-0.105403,-0.109398,0.003996,0.1179,-0.000315,0.008218,nan,nan
(iii) Δa and Δc = +0.02,W60,10,1.181274,-0.089249,-0.093125,0.003876,0.0087,0.001600,0.006334,0.000296,0.005256
(iii) Δa and Δc = +0.02,global (run-level prediction),10,1.321167,-0.100576,-0.000000,-0.100576,0.0001,-0.105847,-0.095270,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),10,1.321167,-0.100576,-0.105594,0.005018,0.0016,0.002859,0.007223,nan,nan
(iii) Δa and Δc = +0.02,W60,11,1.187393,-0.093520,-0.095392,0.001872,0.1511,-0.000225,0.004493,0.000363,0.005798
(iii) Δa and Δc = +0.02,global (run-level prediction),11,1.326232,-0.106384,0.000000,-0.106384,0.0001,-0.113960,-0.099946,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),11,1.326232,-0.106384,-0.110258,0.003874,0.0389,0.000652,0.006919,nan,nan
(iii) Δa and Δc = +0.02,W60,12,1.189889,-0.095485,-0.099961,0.004476,0.0009,0.002244,0.006648,0.000558,0.006008
(iii) Δa and Δc = +0.02,global (run-level prediction),12,1.328349,-0.106971,-0.000000,-0.106971,0.0001,-0.112252,-0.102548,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),12,1.328349,-0.106971,-0.110916,0.003944,0.0405,0.000546,0.007270,nan,nan
(iii) Δa and Δc = +0.02,W60,13,1.187518,-0.093331,-0.095079,0.001747,0.1439,-0.000381,0.003846,0.001248,0.005747
(iii) Δa and Δc = +0.02,global (run-level prediction),13,1.326905,-0.105497,-0.000000,-0.105497,0.0001,-0.109172,-0.101750,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),13,1.326905,-0.105497,-0.107360,0.001863,0.1489,-0.000515,0.004181,nan,nan
(iii) Δa and Δc = +0.02,W60,14,1.185279,-0.088584,-0.090100,0.001516,0.1880,-0.000623,0.003567,0.000259,0.007481
(iii) Δa and Δc = +0.02,global (run-level prediction),14,1.325173,-0.101822,-0.000000,-0.101822,0.0001,-0.106361,-0.096718,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),14,1.325173,-0.101822,-0.104403,0.002582,0.1813,-0.000733,0.005952,nan,nan
(iii) Δa and Δc = +0.02,W60,15,1.189721,-0.095399,-0.098267,0.002868,0.0348,0.000654,0.004965,0.000108,0.008162
(iii) Δa and Δc = +0.02,global (run-level prediction),15,1.326806,-0.106235,0.000000,-0.106235,0.0001,-0.110812,-0.101410,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),15,1.326806,-0.106235,-0.108578,0.002343,0.2068,-0.000888,0.005428,nan,nan
(iii) Δa and Δc = +0.02,W60,16,1.185741,-0.091464,-0.094273,0.002809,0.0404,0.000604,0.005353,0.000856,0.006362
(iii) Δa and Δc = +0.02,global (run-level prediction),16,1.324406,-0.104716,-0.000000,-0.104716,0.0001,-0.109109,-0.100096,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),16,1.324406,-0.104716,-0.107173,0.002457,0.0781,0.000099,0.005128,nan,nan
(iii) Δa and Δc = +0.02,W60,17,1.184089,-0.089389,-0.091703,0.002314,0.0446,0.000315,0.004282,0.000517,0.007772
(iii) Δa and Δc = +0.02,global (run-level prediction),17,1.321248,-0.096324,0.000000,-0.096324,0.0001,-0.102213,-0.090700,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),17,1.321248,-0.096324,-0.102295,0.005971,0.0175,0.001728,0.010419,nan,nan
(iii) Δa and Δc = +0.02,W60,18,1.186212,-0.091215,-0.094640,0.003425,0.0121,0.001356,0.005696,0.000690,0.007210
(iii) Δa and Δc = +0.02,global (run-level prediction),18,1.325771,-0.100859,0.000000,-0.100859,0.0001,-0.106783,-0.095074,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),18,1.325771,-0.100859,-0.108621,0.007761,0.0020,0.003817,0.011508,nan,nan
(iii) Δa and Δc = +0.02,W60,19,1.186286,-0.092604,-0.096672,0.004069,0.0073,0.001748,0.006418,0.000228,0.007368
(iii) Δa and Δc = +0.02,global (run-level prediction),19,1.325260,-0.108735,0.000000,-0.108735,0.0001,-0.113105,-0.104701,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),19,1.325260,-0.108735,-0.112072,0.003337,0.0288,0.000912,0.005860,nan,nan
(iii) Δa and Δc = +0.02,W60,20,1.188325,-0.093134,-0.096779,0.003646,0.0035,0.001870,0.005347,0.001088,0.004950
(iii) Δa and Δc = +0.02,global (run-level prediction),20,1.326877,-0.107571,0.000000,-0.107571,0.0001,-0.114209,-0.101497,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),20,1.326877,-0.107571,-0.112629,0.005058,0.0013,0.002752,0.007484,nan,nan
(iii) Δa and Δc = +0.02,W60,21,1.188206,-0.094208,-0.097389,0.003181,0.0460,0.000565,0.005918,0.000629,0.004611
(iii) Δa and Δc = +0.02,global (run-level prediction),21,1.326028,-0.101928,0.000000,-0.101928,0.0001,-0.107273,-0.096128,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),21,1.326028,-0.101928,-0.108155,0.006228,0.0172,0.002142,0.010569,nan,nan
(iii) Δa and Δc = +0.02,W60,22,1.187058,-0.093228,-0.096555,0.003327,0.0070,0.001296,0.005216,0.000255,0.007068
(iii) Δa and Δc = +0.02,global (run-level prediction),22,1.327669,-0.111475,0.000000,-0.111475,0.0001,-0.115931,-0.106521,nan,nan
(iii) Δa and Δc = +0.02,global (period-level prediction),22,1.327669,-0.111475,-0.112450,0.000976,0.4697,-0.001550,0.003362,nan,nan
