configuration,run_type,term,value,se,n,ci_lo,ci_hi
4,PCB,means,-4.108658501507897e-06,2.4745914044138698e-06,25000.0,,
4,PCB,within,0.00032546156920174453,3.918208544076103e-05,25000.0,,
4,PCB,pool,1.2796530163203653e-05,9.7160764272054e-06,25000.0,,
4,PCB,eps,-1.3850531837338966e-05,4.224508726332762e-06,25000.0,,
4,PCB,d60,7.172745385387966e-05,4.0355785336601274e-05,25000.0,,
4,PCB,d60_winsign,0.00367867940202012,4.113517002559376e-05,25000.0,,
4,both,run,0.000321507314107157,2.99895266508011e-05,50000.0,,
4,both,wd,0.0003307761610308766,3.0308837541078973e-05,50000.0,,
4,both,means,-9.268846923719517e-06,4.354920263124342e-06,50000.0,,
4,both,within,0.00032968858697165755,2.8735829539607465e-05,50000.0,,
4,both,pool,1.7787498564063214e-05,7.047696977326209e-06,50000.0,,
4,both,eps,-1.6699924504844266e-05,3.253610268756812e-06,50000.0,,
4,both,d60,9.394193653085894e-05,2.9430061950536394e-05,50000.0,,
4,both,d60_winsign,0.0035851096169491952,2.986251197403362e-05,50000.0,,
5,DMT,run,0.00026945793195543645,4.350820371715907e-05,25000.0,,
5,DMT,wd,0.00030343685932948835,4.43651259499384e-05,25000.0,,
5,DMT,means,-3.397892737405185e-05,8.28476442337363e-06,25000.0,,
5,DMT,within,0.00031017545622875604,4.193042082914948e-05,25000.0,,
5,DMT,pool,1.899890595110206e-05,1.0306655257930756e-05,25000.0,,
5,DMT,eps,-2.573750285036977e-05,4.937641556855097e-06,25000.0,,
5,DMT,d60,9.340179413557442e-05,4.284705174350338e-05,25000.0,,
5,DMT,d60_winsign,0.003193833838231403,4.3582667164953495e-05,25000.0,,
5,PCB,run,0.00044523121433613015,4.111807576230761e-05,25000.0,,
5,PCB,wd,0.0004525323975716853,4.1206060447121224e-05,25000.0,,
5,PCB,means,-7.301183235555184e-06,2.420509097019975e-06,25000.0,,
5,PCB,within,0.0004414252090613843,3.912936752851549e-05,25000.0,,
5,PCB,pool,3.12917964470813e-05,9.821770707735095e-06,25000.0,,
5,PCB,eps,-2.0184607936780275e-05,4.209889495681644e-06,25000.0,,
5,PCB,d60,0.00019072066999772483,4.028250412659906e-05,25000.0,,
5,PCB,d60_winsign,0.0035307530514768013,4.167435072372051e-05,25000.0,,
5,both,run,0.00035734457314578333,2.993183900585079e-05,50000.0,,
5,both,wd,0.0003779846284505868,3.0274592557645206e-05,50000.0,,
5,both,means,-2.0640055304803518e-05,4.315558649802881e-06,50000.0,,
5,both,within,0.00037580033264507015,2.86760683937461e-05,50000.0,,
5,both,pool,2.5145351199091683e-05,7.118537814066082e-06,50000.0,,
5,both,eps,-2.296105539357502e-05,3.2443594787659194e-06,50000.0,,
5,both,d60,0.0001420612320666496,2.9404718931746e-05,50000.0,,
5,both,d60_winsign,0.003362293444854102,3.0150457647665896e-05,50000.0,,
control common drive,DMT,run,0.014281865521706478,5.360777761387921e-05,25000.0,,
control common drive,DMT,wd,0.01386886947216408,5.3858712145589066e-05,25000.0,,
control common drive,DMT,means,0.0004129960495423963,9.333520908858439e-06,25000.0,,
control common drive,DMT,within,0.012752843530164693,5.033618749350713e-05,25000.0,,
control common drive,DMT,pool,0.0012651560698778866,1.1282092903527573e-05,25000.0,,
control common drive,DMT,eps,-0.00014913012787849951,4.741642162362092e-06,25000.0,,
control common drive,DMT,d60,0.012305469726882675,5.101546272465655e-05,25000.0,,
control common drive,DMT,d60_winsign,0.011470197527673217,4.6002977297596986e-05,25000.0,,
control pooling,DMT,run,0.0013305785265215245,5.4819752363524534e-05,25000.0,,
control pooling,DMT,wd,0.00136328009892267,5.564303466176199e-05,25000.0,,
control pooling,DMT,means,-3.270157240114518e-05,8.98964897783948e-06,25000.0,,
control pooling,DMT,within,0.0003730757473402248,4.993664166955607e-05,25000.0,,
control pooling,DMT,pool,0.001007828735626638,2.0541561846995803e-05,25000.0,,
control pooling,DMT,eps,-1.762438404419312e-05,8.430043632307427e-06,25000.0,,
control pooling,DMT,d60,0.0003103284639725292,4.3540338267713035e-05,25000.0,,
control pooling,DMT,d60_winsign,0.0029862604761978708,4.264547793650954e-05,25000.0,,
control common drive,PCB,run,0.014485162850493914,5.390183654019655e-05,25000.0,,
control common drive,PCB,wd,0.014349827027071478,5.3777178192744994e-05,25000.0,,
control common drive,PCB,means,0.00013533582342243648,2.8261466407883544e-06,25000.0,,
control common drive,PCB,within,0.013068763450924148,5.0019603015611576e-05,25000.0,,
control common drive,PCB,pool,0.0013247966849662402,1.1050944882027871e-05,25000.0,,
