# partB22_aligned_directed.py; one row per variant, subject, run and W = 60 window; git=a9d9ca4
variant,subject,run,window,A_other,A_same,winsign,B,D,Sym,D_plus_Sym,Both,rms_anti,residual,sd_r1,sd_absq
ts_gsr,2,PCB,14,-0.0046119942,-0.0035564645,0.0031254267,0.0094464799,-0.049230529,0.0057685167,-0.043462012,-0.044120796,0.13380497,-0.043844904,0.028296456,0.18899993
ts_gsr,3,DMT,1,0.0048803859,0.005503865,0.0080353416,0.023990381,-0.043304288,-0.023958279,-0.067262567,-0.070219915,0.10947365,-0.069676891,0.022024694,0.20598585
ts_gsr,3,DMT,2,0.0024062187,0.0021923473,0.0063704243,0.023224723,-0.033220814,-0.0058375056,-0.03905832,-0.040400826,0.10422879,-0.039868131,0.030313847,0.1779747
ts_gsr,3,DMT,3,0.0054061259,0.0044966205,0.0072419407,0.024015574,-0.037698474,-0.01479723,-0.052495704,-0.054630179,0.10777967,-0.053297442,0.029697084,0.19369216
ts_gsr,3,DMT,4,0.0035057444,0.0049997138,0.0088413919,0.028626278,-0.035494949,-0.016366208,-0.051861157,-0.053699874,0.10171026,-0.052918359,0.030780649,0.19023016
ts_gsr,3,DMT,5,0.00058950609,0.00084865487,0.0048666627,0.020243079,-0.034725284,0.00011801204,-0.034607271,-0.035960423,0.11613093,-0.034642737,0.033518959,0.16949232
ts_gsr,3,DMT,6,-0.0032128381,-0.0041944202,-0.0054299867,-0.020502266,-0.036932417,0.02388007,-0.013052347,-0.012504769,0.13063359,-0.012190564,0.025826263,0.17307199
ts_gsr,3,DMT,7,-0.0013098609,0.00033396769,0.0040934255,0.016383001,-0.038000577,-0.00078201949,-0.038782596,-0.040162734,0.11954288,-0.040311418,0.031603176,0.17861339
ts_gsr,3,DMT,8,0.00085520471,0.002153304,0.0051573059,0.017978386,-0.038656494,-0.0058166226,-0.044473117,-0.046482755,0.11694956,-0.046300802,0.027338876,0.18632535
ts_gsr,3,DMT,9,0.003801385,0.0043727005,0.0054198414,0.016983786,-0.038664905,-0.010649448,-0.049314353,-0.050783479,0.10607576,-0.050659356,0.028112527,0.19889366
ts_gsr,3,DMT,10,0.0068932506,0.0038321538,0.0096667518,0.025916631,-0.036425552,-0.015746538,-0.05217209,-0.054862045,0.10413669,-0.054859565,0.027059291,0.20748138
ts_gsr,3,DMT,11,0.002033155,0.0025077998,0.0055385039,0.017259207,-0.036193553,0.0014328983,-0.034760655,-0.036240314,0.11762945,-0.036166429,0.025395332,0.18039458
ts_gsr,3,DMT,12,0.00010225144,0.0015906507,0.0039063926,0.016532955,-0.032543525,0.0008942607,-0.031649264,-0.03297558,0.11322515,-0.032520006,0.025746405,0.16726256
ts_gsr,3,DMT,13,-0.0024288665,-0.0015043376,0.0038043312,0.012147457,-0.037161197,0.0047090194,-0.032452178,-0.033439763,0.11628414,-0.033273634,0.029576923,0.18211998
ts_gsr,3,DMT,14,-0.00058702733,0.0006003416,0.0039410021,0.014369093,-0.03646756,0.0035416778,-0.032925882,-0.033809013,0.11769298,-0.033304093,0.030128803,0.17244013
ts_gsr,3,PCB,1,-0.0020599548,-0.0031743218,-0.0010039177,-0.0018175812,-0.047882088,0.015975433,-0.031906655,-0.031830662,0.12318046,-0.031998013,0.024025558,0.20795413
ts_gsr,3,PCB,2,-0.00034971124,0.00092125529,0.0029340543,0.009575478,-0.046456119,1.6505788e-05,-0.046439613,-0.047353076,0.13091209,-0.047539412,0.026849359,0.19045978
