variant,subject,condition,n_trs,n_trs_last_window,delta_run,delta_wd,delta_means,delta_within,delta_pool,delta_eps,delta_d60,delta_d60_winsign,a,absq,sumpi,frac_qneg,frac_absq05,frac_absq10
ts_demean,3,DMT,840,60,-0.003958233843687256,-0.003920436131455264,-3.779771223199235e-05,-0.002848001773423357,-0.000768405112436838,-0.0003040292455950683,-0.0032142264478972876,0.001140135626650799,0.8465398383683607,0.19862248217621212,0.9670419455027451,0.1931350114416476,0.16308161708619376,0.3215865751334859
ts_demean,3,PCB,839,59,0.0030318722750639457,0.002978182830759714,5.368944430423243e-05,0.00290799615377823,4.4403297963974425e-05,2.578337901750879e-05,0.0026370692956435384,0.005468383948787633,0.8672279072158438,0.23362660005588615,0.972594512836568,0.34950419527078563,0.14706331045003815,0.2926010678871091
ts_demean,4,DMT,840,60,-0.0008115627626075764,-0.0008421027136757232,3.053995106814673e-05,-0.0008228948157558533,-6.938411263397384e-05,5.017621471410395e-05,-0.0012510149837403762,0.004153680527972275,0.8652631699752515,0.1873186234814784,0.9673334113531401,0.1969488939740656,0.17971014492753623,0.34416475972540045
ts_demean,4,PCB,840,60,-0.0009979005630443747,-0.0010072308615809895,9.330298536614836e-06,-0.0010217390476869599,-0.00012334729003369609,0.00013785547613966634,-0.001555183683597621,0.005013126326219448,0.8712853856908154,0.2014731454138637,0.9671199680266569,0.18184591914569032,0.16765827612509535,0.32387490465293667
ts_demean,5,DMT,840,60,-0.0005126021089808626,-0.0005114425858290932,-1.1595231517692638e-06,-0.00044047997728262014,-0.00015942490629674682,8.846229775027383e-05,-0.0008541391009673035,0.0044765291631631305,0.8594304996648073,0.1995024161119009,0.9690610497696079,0.2540045766590389,0.15850495804729214,0.3128909229595728
ts_demean,5,PCB,840,60,0.0014270433549745654,0.001477715798145914,-5.0672443171348996e-05,0.0012697489717382884,0.0002658873550580462,-5.792052865042012e-05,0.0007023661280457327,0.004779665033863321,0.8624944263017102,0.19949315718302926,0.9563345361580524,0.3488939740655988,0.1679633867276888,0.32280701754385965
ts_demean,6,DMT,840,60,0.0017233231446533402,0.001742002163640743,-1.8679018987402683e-05,0.0012341764397033913,0.0004821165270969183,2.5709196840433266e-05,0.0007735214249587543,0.005045207216394912,0.8647690004683144,0.198631769093599,0.9585736750645407,0.27093821510297483,0.18032036613272312,0.3493516399694889
ts_demean,6,PCB,840,60,0.003184571141552297,0.003173264106051587,1.1307035500709596e-05,0.0029695085919242224,0.00021080333045638496,-7.0478163290202135e-06,0.0026458006910522643,0.006280340094558374,0.8624978221572464,0.1666871360252127,0.9643370672936467,0.40427154843630814,0.21311975591151794,0.4079328756674294
ts_demean,7,DMT,840,60,0.0011578465173885623,0.001223164420682399,-6.53179032938368e-05,0.001060279258708518,0.0002452149902654063,-8.232982829152546e-05,0.0008582040065053581,0.004610196481858707,0.8673325035908462,0.2732490983175331,0.9575933531047905,0.14080854309687263,0.10846681922196796,0.22379862700228834
ts_demean,7,PCB,840,60,-0.0004622004731615144,-0.0005003529249062721,3.815245174475768e-05,-0.0005796657987621711,3.1548404685879984e-05,4.776446917001912e-05,-0.0012112916666545057,0.001418866409652468,0.8528993550604452,0.23679366868935073,0.970069976096504,0.32250190694126624,0.14919908466819223,0.29168573607932874
