# partB21_inference_revision.py; one row per quantity; git=a9d9ca4
group,label,set,field,source,quoted_at,n,mean,committed_mean,check,p_exact,committed_p,p_tol,pct_lo,pct_hi,inv_lo,inv_hi,t_lo,t_hi,width_ratio,zero_in_pct,zero_in_inv,zero_in_t,n_neg,grid_violations,note
pickle,CCS sts ts_demean W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,0.015881933891886774,np.float64(0.015881933891886774),ok,0.010009765625,0.010009765625,1e-09,np.float64(0.00583946585472521),np.float64(0.02743519540359961),0.0034682470781034038,0.028390052061388373,np.float64(0.003552933571842545),np.float64(0.028210934211931),np.float64(1.1540154235995204),no,no,no,3,0,
pickle,CCS sts ts_demean W60,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,0.01153871517243566,np.float64(0.01153871517243566),ok,0.00927734375,0.00927734375,1e-09,np.float64(0.004268407132257111),np.float64(0.01942457418287872),0.0029259848195678194,0.020378238065431632,np.float64(0.002767468630687976),np.float64(0.020309961714183342),np.float64(1.1514951760279017),no,no,no,3,0,
pickle,CCS sts ts_demean W60,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,0.00899861163419305,np.float64(0.00899861163419305),ok,0.0218505859375,0.0218505859375,1e-09,np.float64(0.0026019929024411062),np.float64(0.016001770355497696),0.0012656100675591643,0.016778461182971383,np.float64(0.0011808614194593406),np.float64(0.01681636184892676),np.float64(1.157694683345179),no,no,no,2,0,
pickle,CCS xtx+yty ts_demean W60,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.1305040692545077,np.float64(-0.1305040692545077),ok,0.0018310546875,0.0018310546875,1e-09,np.float64(-0.18757525417643445),np.float64(-0.0727835635628782),-0.19617222142662,-0.06419108569908702,np.float64(-0.19642363373006522),np.float64(-0.06458450477895018),np.float64(1.1497446811881586),no,no,no,13,0,
pickle,CCS xtx+yty ts_demean W60,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.11567493737454794,np.float64(-0.11567493737454794),ok,0.00244140625,0.00244140625,1e-09,np.float64(-0.1698448553459079),np.float64(-0.05812314243717773),-0.1793409530278377,-0.05129946386540843,np.float64(-0.1794145491133552),np.float64(-0.05193532563574069),np.float64(1.1460752420349245),no,no,no,12,0,
pickle,CCS xtx+yty ts_demean W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.13920446160434366,np.float64(-0.13920446160434366),ok,0.0006103515625,0.0006103515625,1e-09,np.float64(-0.1898709435510598),np.float64(-0.08674990938797336),-0.19821673131870743,-0.07934238756607165,np.float64(-0.19848029713663184),np.float64(-0.07992862607205548),np.float64(1.152765240548649),no,no,no,13,0,
pickle,CCS xtx+yty ts_demean W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.12354375537463895,np.float64(-0.12354375537463895),ok,0.006591796875,0.006591796875,1e-09,np.float64(-0.193330970589808),np.float64(-0.05230115747789626),-0.2052821369845242,-0.042703934434427174,np.float64(-0.20382872895295268),np.float64(-0.043258781796325224),np.float64(1.1527931503467705),no,no,no,11,0,
pickle,CCS xtx+yty ts_demean W60,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.1400393381997357,np.float64(-0.1400393381997357),ok,0.0013427734375,0.0013427734375,1e-09,np.float64(-0.20270906771413488),np.float64(-0.07828456507872224),-0.20991444283020327,-0.06942152507440998,np.float64(-0.21013088286811432),np.float64(-0.06994779353135709),np.float64(1.1291418874903134),no,no,no,13,0,
pickle,CCS xtx+yty ts_demean W60,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.1420462353925606,np.float64(-0.1420462353925606),ok,0.001220703125,0.001220703125,1e-09,np.float64(-0.20233451977727204),np.float64(-0.08285510086428133),-0.2099387114872887,-0.07272196980170528,np.float64(-0.21027657448862286),np.float64(-0.07381589629649832),np.float64(1.1484550471869108),no,no,no,13,0,
pickle,CCS rtr ts_demean W60,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,0.004997235950505408,np.float64(0.004997235950505408),ok,0.4976806640625,0.4976806640625,1e-09,np.float64(-0.007942250927300954),np.float64(0.019447347598130636),-0.010218751688339044,0.02065255723494338,np.float64(-0.01042346738546775),np.float64(0.020417939286478566),np.float64(1.1271179785500698),yes,yes,yes,8,0,
