# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa = −0.015, Δc = 0,W60,28,0.716222,-0.039334,-0.045906,0.006572,0.0004,0.003885,0.009543,0.000791,0.001474
(i) Δa = −0.015, Δc = 0,global (run-level prediction),28,1.135527,-0.068673,0.000000,-0.068673,0.0001,-0.078104,-0.059768,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),28,1.135527,-0.068673,-0.077510,0.008836,0.0155,0.002733,0.013967,nan,nan
(i) Δa = −0.015, Δc = 0,W60,29,0.716722,-0.044204,-0.047004,0.002801,0.1228,-0.000302,0.005933,-0.000398,0.001848
(i) Δa = −0.015, Δc = 0,global (run-level prediction),29,1.134193,-0.066819,0.000000,-0.066819,0.0001,-0.074223,-0.058720,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),29,1.134193,-0.066819,-0.074290,0.007471,0.0521,0.001059,0.014722,nan,nan
(i) Δa = −0.015, Δc = 0,W60,30,0.717118,-0.040589,-0.042611,0.002022,0.3489,-0.001923,0.005918,-0.000068,0.000384
(i) Δa = −0.015, Δc = 0,global (run-level prediction),30,1.132627,-0.063577,-0.000000,-0.063577,0.0001,-0.071357,-0.055981,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),30,1.132627,-0.063577,-0.073427,0.009850,0.0049,0.004442,0.016238,nan,nan
(i) Δa = −0.015, Δc = 0,W60,31,0.711445,-0.035154,-0.041988,0.006834,0.0018,0.003896,0.010087,0.000401,0.000534
(i) Δa = −0.015, Δc = 0,global (run-level prediction),31,1.127720,-0.059671,0.000000,-0.059671,0.0001,-0.070525,-0.049433,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),31,1.127720,-0.059671,-0.069513,0.009842,0.0090,0.004222,0.016513,nan,nan
(i) Δa = −0.015, Δc = 0,W60,32,0.714613,-0.038578,-0.039900,0.001322,0.5712,-0.002877,0.005598,-0.000215,0.001779
(i) Δa = −0.015, Δc = 0,global (run-level prediction),32,1.136553,-0.066111,0.000000,-0.066111,0.0001,-0.073185,-0.057376,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),32,1.136553,-0.066111,-0.072291,0.006180,0.1528,-0.001426,0.013863,nan,nan
(i) Δa = −0.015, Δc = 0,W60,33,0.714796,-0.037671,-0.041828,0.004158,0.0426,0.000881,0.007772,-0.000153,0.001681
(i) Δa = −0.015, Δc = 0,global (run-level prediction),33,1.126409,-0.055019,0.000000,-0.055019,0.0001,-0.063851,-0.046526,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),33,1.126409,-0.055019,-0.071944,0.016924,0.0001,0.012489,0.021033,nan,nan
(i) Δa = −0.015, Δc = 0,W60,34,0.712959,-0.043169,-0.050328,0.007159,0.0007,0.004240,0.010049,0.000536,0.001692
(i) Δa = −0.015, Δc = 0,global (run-level prediction),34,1.126418,-0.067230,-0.000000,-0.067230,0.0001,-0.077535,-0.058266,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),34,1.126418,-0.067230,-0.081974,0.014744,0.0017,0.007577,0.022146,nan,nan
(i) Δa = −0.015, Δc = 0,W60,35,0.718222,-0.043076,-0.044198,0.001122,0.4731,-0.001628,0.004010,0.000455,0.001666
(i) Δa = −0.015, Δc = 0,global (run-level prediction),35,1.133648,-0.064655,-0.000000,-0.064655,0.0001,-0.075456,-0.054796,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),35,1.133648,-0.064655,-0.074013,0.009358,0.0107,0.003518,0.015764,nan,nan
(i) Δa = −0.015, Δc = 0,W60,36,0.719396,-0.046531,-0.051939,0.005408,0.0188,0.001496,0.009474,-0.000196,0.001693
(i) Δa = −0.015, Δc = 0,global (run-level prediction),36,1.137110,-0.070344,-0.000000,-0.070344,0.0001,-0.080936,-0.059338,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),36,1.137110,-0.070344,-0.077516,0.007173,0.0839,-0.000124,0.014724,nan,nan
(i) Δa = −0.015, Δc = 0,W60,37,0.712772,-0.041243,-0.046687,0.005444,0.0110,0.001729,0.008355,0.000739,0.000659
(i) Δa = −0.015, Δc = 0,global (run-level prediction),37,1.133640,-0.076923,-0.000000,-0.076923,0.0001,-0.084669,-0.069139,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),37,1.133640,-0.076923,-0.085674,0.008751,0.0049,0.003947,0.013539,nan,nan
(i) Δa = −0.015, Δc = 0,W60,38,0.717341,-0.043397,-0.049552,0.006155,0.0057,0.002594,0.009280,-0.000195,0.001502
(i) Δa = −0.015, Δc = 0,global (run-level prediction),38,1.132257,-0.067164,-0.000000,-0.067164,0.0001,-0.076590,-0.057172,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),38,1.132257,-0.067164,-0.074518,0.007354,0.0807,-0.000263,0.014496,nan,nan
(i) Δa = −0.015, Δc = 0,W60,39,0.715933,-0.044039,-0.047945,0.003907,0.0358,0.000898,0.007000,0.000852,0.001163
(i) Δa = −0.015, Δc = 0,global (run-level prediction),39,1.133982,-0.068491,0.000000,-0.068491,0.0001,-0.078699,-0.060004,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),39,1.133982,-0.068491,-0.078090,0.009598,0.0021,0.004938,0.014496,nan,nan
(i) Δa = −0.015, Δc = 0,W60,40,0.715912,-0.045983,-0.049370,0.003387,0.0059,0.001489,0.005298,-0.000023,0.001272
(i) Δa = −0.015, Δc = 0,global (run-level prediction),40,1.127403,-0.066574,0.000000,-0.066574,0.0001,-0.074489,-0.060273,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),40,1.127403,-0.066574,-0.072593,0.006019,0.0750,-0.000069,0.011582,nan,nan
(i) Δa = −0.015, Δc = 0,W60,41,0.710469,-0.036511,-0.040127,0.003616,0.0432,0.000618,0.006304,0.000816,0.001449
(i) Δa = −0.015, Δc = 0,global (run-level prediction),41,1.126630,-0.057175,-0.000000,-0.057175,0.0001,-0.068749,-0.045673,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),41,1.126630,-0.057175,-0.067300,0.010125,0.0204,0.002705,0.016809,nan,nan
(i) Δa = −0.015, Δc = 0,W60,42,0.716316,-0.046078,-0.048066,0.001988,0.2648,-0.001437,0.005072,0.000414,0.001961
(i) Δa = −0.015, Δc = 0,global (run-level prediction),42,1.129151,-0.064247,-0.000000,-0.064247,0.0001,-0.071788,-0.057755,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),42,1.129151,-0.064247,-0.077044,0.012798,0.0010,0.007509,0.019065,nan,nan
(i) Δa = −0.015, Δc = 0,W60,43,0.714505,-0.042346,-0.046802,0.004456,0.0216,0.001283,0.007681,0.000932,0.001852
(i) Δa = −0.015, Δc = 0,global (run-level prediction),43,1.129220,-0.062521,-0.000000,-0.062521,0.0001,-0.070131,-0.054948,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),43,1.129220,-0.062521,-0.074812,0.012292,0.0005,0.007421,0.017885,nan,nan
(i) Δa = −0.015, Δc = 0,W60,44,0.718699,-0.046611,-0.051451,0.004840,0.0326,0.000847,0.008288,0.001998,0.001460
(i) Δa = −0.015, Δc = 0,global (run-level prediction),44,1.132218,-0.071148,-0.000000,-0.071148,0.0001,-0.076865,-0.065525,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),44,1.132218,-0.071148,-0.076753,0.005605,0.0835,0.000029,0.010829,nan,nan
(i) Δa = −0.015, Δc = 0,W60,45,0.711972,-0.041752,-0.047191,0.005439,0.0273,0.001444,0.009624,0.000370,0.001600
(i) Δa = −0.015, Δc = 0,global (run-level prediction),45,1.131279,-0.067894,0.000000,-0.067894,0.0001,-0.074708,-0.060683,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),45,1.131279,-0.067894,-0.082041,0.014146,0.0007,0.008934,0.019707,nan,nan
(i) Δa = −0.015, Δc = 0,W60,46,0.716992,-0.041965,-0.047288,0.005323,0.0074,0.002130,0.008813,-0.000783,0.001763
(i) Δa = −0.015, Δc = 0,global (run-level prediction),46,1.133921,-0.070101,0.000000,-0.070101,0.0001,-0.078921,-0.061525,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),46,1.133921,-0.070101,-0.075851,0.005750,0.1233,-0.000589,0.012308,nan,nan
(i) Δa = −0.015, Δc = 0,W60,47,0.712452,-0.038668,-0.044151,0.005483,0.0170,0.001795,0.008809,0.000468,0.001541
(i) Δa = −0.015, Δc = 0,global (run-level prediction),47,1.129512,-0.068805,-0.000000,-0.068805,0.0001,-0.075822,-0.062725,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),47,1.129512,-0.068805,-0.078248,0.009442,0.0004,0.006642,0.012431,nan,nan
(i) Δa = −0.015, Δc = 0,W60,48,0.717519,-0.044294,-0.050498,0.006204,0.0049,0.002604,0.009854,-0.001456,0.002012
(i) Δa = −0.015, Δc = 0,global (run-level prediction),48,1.136509,-0.072415,0.000000,-0.072415,0.0001,-0.081236,-0.064335,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),48,1.136509,-0.072415,-0.076635,0.004221,0.1803,-0.001482,0.009462,nan,nan
(i) Δa = −0.015, Δc = 0,W60,49,0.715334,-0.043582,-0.049046,0.005464,0.0026,0.002696,0.008764,-0.000569,0.000696
(i) Δa = −0.015, Δc = 0,global (run-level prediction),49,1.132375,-0.067396,-0.000000,-0.067396,0.0001,-0.075805,-0.058060,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),49,1.132375,-0.067396,-0.073344,0.005947,0.0868,-0.000555,0.011851,nan,nan
(i) Δa = −0.015, Δc = 0,W60,50,0.716708,-0.044852,-0.050334,0.005482,0.0172,0.001840,0.009214,-0.000585,0.001363
