# script=01_synergy_timecourse.py variant=ts_gsr regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=nogit
subject,condition,bin,synergy_mean
10,DMT,9,0.992051
10,DMT,10,1.236026
10,DMT,11,1.300647
10,DMT,12,1.278658
10,DMT,13,1.209887
10,DMT,14,1.256601
10,DMT,15,1.345980
10,DMT,16,1.432701
10,DMT,17,1.235506
10,DMT,18,1.230656
10,DMT,19,1.236164
10,DMT,20,1.186311
10,DMT,21,1.139214
10,DMT,22,1.226085
10,DMT,23,1.268743
10,DMT,24,1.362064
10,DMT,25,1.343485
10,DMT,26,1.480982
10,DMT,27,1.235126
10,PCB,0,1.141763
10,PCB,1,1.138727
10,PCB,2,1.188405
10,PCB,3,1.163260
10,PCB,4,1.216147
10,PCB,5,1.241662
10,PCB,6,1.277429
10,PCB,7,1.190682
10,PCB,8,1.065484
10,PCB,9,1.145718
10,PCB,10,1.315612
10,PCB,11,1.392084
10,PCB,12,1.378711
10,PCB,13,1.374348
10,PCB,14,1.149654
10,PCB,15,1.230656
10,PCB,16,1.353492
10,PCB,17,1.369773
10,PCB,18,1.391898
10,PCB,19,1.449222
10,PCB,20,1.416148
10,PCB,21,1.156302
10,PCB,22,1.528877
10,PCB,23,1.327995
10,PCB,24,1.320414
10,PCB,25,1.466591
10,PCB,26,1.198384
10,PCB,27,1.334011
11,DMT,0,1.010743
11,DMT,1,1.540421
11,DMT,2,1.211650
11,DMT,3,1.343953
11,DMT,4,1.557564
11,DMT,5,1.535689
11,DMT,6,1.357736
11,DMT,7,1.205390
11,DMT,8,1.319610
11,DMT,9,1.325304
11,DMT,10,1.226137
11,DMT,11,1.295905
11,DMT,12,1.215312
11,DMT,13,1.174927
11,DMT,14,1.114443
11,DMT,15,1.326624
11,DMT,16,1.372582
11,DMT,17,1.367552
11,DMT,18,1.351838
11,DMT,19,1.210930
11,DMT,20,1.132693
11,DMT,21,1.337570
11,DMT,22,1.431810
11,DMT,23,1.324326
11,DMT,24,1.172691
11,DMT,25,1.308018
11,DMT,26,1.526729
11,DMT,27,1.444211
11,PCB,0,1.361403
11,PCB,1,1.296328
11,PCB,2,1.187274
11,PCB,3,1.442490
11,PCB,4,1.279355
11,PCB,5,1.142085
11,PCB,6,1.773378
11,PCB,7,1.185609
11,PCB,8,1.408173
11,PCB,9,1.331082
11,PCB,10,1.272731
11,PCB,11,1.418551
11,PCB,12,1.470383
11,PCB,13,1.114635
11,PCB,14,1.440260
11,PCB,15,1.384169
11,PCB,16,1.456900
11,PCB,17,1.426500
11,PCB,18,1.079625
11,PCB,19,1.368588
11,PCB,20,1.279882
11,PCB,21,1.256209
11,PCB,22,1.397454
11,PCB,23,1.074927
11,PCB,24,1.383525
11,PCB,25,1.340425
11,PCB,26,1.004718
11,PCB,27,1.357109
12,DMT,0,1.264252
12,DMT,1,1.273701
12,DMT,2,1.203338
12,DMT,3,1.285737
12,DMT,4,1.316111
12,DMT,5,1.026656
12,DMT,6,1.471757
12,DMT,7,1.317529
12,DMT,8,1.099090
12,DMT,9,1.170057
12,DMT,10,1.269819
12,DMT,11,1.196089
12,DMT,12,1.094712
12,DMT,13,1.286384
12,DMT,14,1.216320
12,DMT,15,1.306832
12,DMT,16,1.226747
12,DMT,17,1.288483
12,DMT,18,1.169588
12,DMT,19,1.174154
12,DMT,20,1.471484
12,DMT,21,1.382758
12,DMT,22,1.358889
12,DMT,23,1.181157
12,DMT,24,1.306107
12,DMT,25,1.323352
12,DMT,26,1.134523
12,DMT,27,1.438772
12,PCB,0,1.496965
12,PCB,1,1.358670
12,PCB,2,1.189421
12,PCB,3,1.554359
12,PCB,4,1.524189
12,PCB,5,1.355605
12,PCB,6,1.351553
12,PCB,7,1.205317
12,PCB,8,1.162431
12,PCB,9,1.251388
12,PCB,10,1.241775
12,PCB,11,1.506438
12,PCB,12,1.338493
12,PCB,13,1.095273
12,PCB,14,1.220891
12,PCB,15,1.332704
12,PCB,16,1.030762
12,PCB,17,1.236899
12,PCB,18,1.153249
12,PCB,19,1.213617
12,PCB,20,1.277786
12,PCB,21,1.292278
12,PCB,22,1.289057
12,PCB,23,1.277898
12,PCB,24,1.528465
12,PCB,25,1.314028
12,PCB,26,1.311468
12,PCB,27,1.371984
13,DMT,0,1.131465
13,DMT,1,1.230402
13,DMT,2,1.235772
13,DMT,3,1.274488
13,DMT,4,0.913337
13,DMT,5,1.087052
13,DMT,6,0.836260
13,DMT,7,0.951643
13,DMT,8,1.195390
13,DMT,9,1.220424
13,DMT,10,1.095709
13,DMT,11,1.272420
13,DMT,12,1.146174
13,DMT,13,1.094457
13,DMT,14,1.239718
13,DMT,15,1.280059
13,DMT,16,1.275932
13,DMT,17,1.069079
13,DMT,18,1.289826
13,DMT,19,1.133814
13,DMT,20,1.066218
13,DMT,21,1.232569
13,DMT,22,1.382446
13,DMT,23,1.328238
13,DMT,24,1.179607
13,DMT,25,1.451643
13,DMT,26,1.434386
13,DMT,27,1.378097
13,PCB,0,1.296675
13,PCB,1,1.216836
13,PCB,2,1.219431
13,PCB,3,1.234072
13,PCB,4,1.227448
13,PCB,5,1.363483
13,PCB,6,1.257770
13,PCB,7,1.137249
13,PCB,8,1.164671
13,PCB,9,1.149997
13,PCB,10,1.105644
13,PCB,11,1.217267
13,PCB,12,1.188530
13,PCB,13,1.210054
13,PCB,14,1.168314
13,PCB,15,1.188255
13,PCB,16,1.328103
13,PCB,17,1.396393
13,PCB,18,1.211665
13,PCB,19,1.264357
13,PCB,20,1.140139
13,PCB,21,1.114382
13,PCB,22,1.273561
13,PCB,23,1.104238
13,PCB,24,0.969350
13,PCB,25,1.266672
13,PCB,26,1.337166
13,PCB,27,1.041002
