# 09_global_fc_per_bin.py variant=ts_demean regions=115 pairs=6555 excluded_regions=20 bin_trs=30 git=66b570e-dirty
subject,condition,bin,mean_r,n_tr
12,DMT,19,0.356934,30
12,DMT,20,0.444351,30
12,DMT,21,0.449733,30
12,DMT,22,0.239408,30
12,DMT,23,0.413648,30
12,DMT,24,0.562198,30
12,DMT,25,0.357340,30
12,DMT,26,0.440254,30
12,DMT,27,0.431628,30
12,DMT,28,0.228370,30
12,PCB,1,0.309000,30
12,PCB,2,0.249271,30
12,PCB,3,0.143524,30
12,PCB,4,0.099587,30
12,PCB,5,0.228078,30
12,PCB,6,0.128007,30
12,PCB,7,0.064382,30
12,PCB,8,0.306434,30
12,PCB,9,0.579427,30
12,PCB,10,0.141898,30
12,PCB,11,0.265521,30
12,PCB,12,0.201072,30
12,PCB,13,0.135527,30
12,PCB,14,0.162209,30
12,PCB,15,0.162493,30
12,PCB,16,0.121784,30
12,PCB,17,0.521583,30
12,PCB,18,0.056917,30
12,PCB,19,0.076248,30
12,PCB,20,0.157651,30
12,PCB,21,0.085739,30
12,PCB,22,0.262440,30
12,PCB,23,0.406838,30
12,PCB,24,0.204656,30
12,PCB,25,0.150696,30
12,PCB,26,0.208622,30
12,PCB,27,0.190687,30
12,PCB,28,0.152401,30
13,DMT,1,0.191008,30
13,DMT,2,0.024232,30
13,DMT,3,0.095116,30
13,DMT,4,0.082232,30
13,DMT,5,0.316669,30
13,DMT,6,0.180673,30
13,DMT,7,0.211977,30
13,DMT,8,0.160478,30
13,DMT,9,0.345621,30
13,DMT,10,0.154901,30
13,DMT,11,0.077053,30
13,DMT,12,0.070502,30
13,DMT,13,0.036750,30
13,DMT,14,0.105249,30
13,DMT,15,0.096884,30
13,DMT,16,0.036426,30
13,DMT,17,0.118959,30
13,DMT,18,0.061676,30
13,DMT,19,0.070881,30
13,DMT,20,0.046038,30
13,DMT,21,0.088364,30
13,DMT,22,0.074182,30
13,DMT,23,0.062437,30
13,DMT,24,0.068325,30
13,DMT,25,0.067513,30
13,DMT,26,0.062128,30
13,DMT,27,0.056271,30
13,DMT,28,0.031099,30
13,PCB,1,0.155642,30
13,PCB,2,0.181285,30
13,PCB,3,0.227675,30
13,PCB,4,0.057627,30
13,PCB,5,0.105265,30
13,PCB,6,0.145128,30
13,PCB,7,0.115405,30
13,PCB,8,0.341937,30
13,PCB,9,0.272279,30
13,PCB,10,0.096403,30
13,PCB,11,0.216919,30
13,PCB,12,0.269505,30
13,PCB,13,0.053564,30
13,PCB,14,0.142529,30
13,PCB,15,0.204928,30
13,PCB,16,0.313542,30
13,PCB,17,0.230701,30
13,PCB,18,0.285620,30
13,PCB,19,0.102843,30
13,PCB,20,0.110484,30
13,PCB,21,0.260560,30
13,PCB,22,0.367466,30
13,PCB,23,0.171174,30
13,PCB,24,0.282297,30
13,PCB,25,0.203913,30
13,PCB,26,0.106972,30
13,PCB,27,0.144179,30
13,PCB,28,0.084817,30
