# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_noisecorr,30,19,rtr,19-19,1.000000,0.046892,0.040080,-0.006812,-0.007506,-0.006118,0.050072
nonstat_step_noisecorr,30,20,rtr,20-20,1.000000,0.046892,0.040214,-0.006678,-0.007379,-0.005977,0.050568
nonstat_step_noisecorr,30,21,rtr,21-21,1.000000,0.046892,0.039957,-0.006935,-0.007641,-0.006229,0.050915
nonstat_step_noisecorr,30,22,rtr,22-22,1.000000,0.046892,0.040271,-0.006622,-0.007332,-0.005912,0.051257
nonstat_step_noisecorr,30,23,rtr,23-23,1.000000,0.046892,0.040305,-0.006587,-0.007295,-0.005879,0.051083
nonstat_step_noisecorr,30,24,rtr,24-24,1.000000,0.046892,0.040249,-0.006644,-0.007347,-0.005941,0.050711
nonstat_step_noisecorr,30,25,rtr,25-25,1.000000,0.046892,0.040246,-0.006646,-0.007346,-0.005947,0.050468
nonstat_step_noisecorr,30,26,rtr,26-26,1.000000,0.046892,0.040639,-0.006254,-0.006966,-0.005541,0.051405
nonstat_step_noisecorr,30,27,rtr,27-27,1.000000,0.046892,0.039860,-0.007032,-0.007720,-0.006345,0.049621
nonstat_step_noisecorr,30,28,rtr,28-28,1.000000,0.046892,0.039250,-0.007642,-0.008333,-0.006951,0.049855
nonstat_step_noisecorr,60,1,sts,1-2,0.000000,0.094214,0.077885,-0.016330,-0.017312,-0.015347,0.070919
nonstat_step_noisecorr,60,2,sts,3-4,0.000000,0.094214,0.077501,-0.016713,-0.017700,-0.015726,0.071228
nonstat_step_noisecorr,60,3,sts,5-6,0.000000,0.094214,0.077358,-0.016856,-0.017848,-0.015865,0.071545
nonstat_step_noisecorr,60,4,sts,7-8,0.000000,0.094214,0.078395,-0.015819,-0.016810,-0.014829,0.071479
nonstat_step_noisecorr,60,5,sts,9-10,1.000000,0.039612,0.041585,0.001973,0.001416,0.002531,0.040207
nonstat_step_noisecorr,60,6,sts,11-12,1.000000,0.039612,0.041913,0.002300,0.001741,0.002859,0.040327
nonstat_step_noisecorr,60,7,sts,13-14,1.000000,0.039612,0.041721,0.002109,0.001552,0.002666,0.040221
nonstat_step_noisecorr,60,8,sts,15-16,1.000000,0.039612,0.041129,0.001517,0.000962,0.002071,0.039987
nonstat_step_noisecorr,60,9,sts,17-18,1.000000,0.039612,0.041007,0.001395,0.000845,0.001945,0.039665
nonstat_step_noisecorr,60,10,sts,19-20,1.000000,0.039612,0.041537,0.001925,0.001358,0.002491,0.040865
nonstat_step_noisecorr,60,11,sts,21-22,1.000000,0.039612,0.041292,0.001680,0.001129,0.002231,0.039768
nonstat_step_noisecorr,60,12,sts,23-24,1.000000,0.039612,0.041576,0.001963,0.001416,0.002511,0.039493
nonstat_step_noisecorr,60,13,sts,25-26,1.000000,0.039612,0.041232,0.001620,0.001061,0.002178,0.040289
nonstat_step_noisecorr,60,14,sts,27-28,1.000000,0.039612,0.041003,0.001391,0.000835,0.001946,0.040068
nonstat_step_noisecorr,60,1,rtr,1-2,0.000000,0.013658,0.019624,0.005967,0.005613,0.006320,0.025494
nonstat_step_noisecorr,60,2,rtr,3-4,0.000000,0.013658,0.019684,0.006026,0.005676,0.006376,0.025260
nonstat_step_noisecorr,60,3,rtr,5-6,0.000000,0.013658,0.019360,0.005702,0.005356,0.006048,0.024977
nonstat_step_noisecorr,60,4,rtr,7-8,0.000000,0.013658,0.019626,0.005968,0.005613,0.006324,0.025658
nonstat_step_noisecorr,60,5,rtr,9-10,1.000000,0.046892,0.043861,-0.003031,-0.003604,-0.002458,0.041362
nonstat_step_noisecorr,60,6,rtr,11-12,1.000000,0.046892,0.043564,-0.003328,-0.003893,-0.002763,0.040776
nonstat_step_noisecorr,60,7,rtr,13-14,1.000000,0.046892,0.043898,-0.002995,-0.003563,-0.002426,0.041040
nonstat_step_noisecorr,60,8,rtr,15-16,1.000000,0.046892,0.044675,-0.002217,-0.002795,-0.001639,0.041721
nonstat_step_noisecorr,60,9,rtr,17-18,1.000000,0.046892,0.043978,-0.002915,-0.003480,-0.002350,0.040762
nonstat_step_noisecorr,60,10,rtr,19-20,1.000000,0.046892,0.044167,-0.002726,-0.003293,-0.002158,0.040939
nonstat_step_noisecorr,60,11,rtr,21-22,1.000000,0.046892,0.044034,-0.002859,-0.003431,-0.002287,0.041249
nonstat_step_noisecorr,60,12,rtr,23-24,1.000000,0.046892,0.044039,-0.002853,-0.003426,-0.002281,0.041296
nonstat_step_noisecorr,60,13,rtr,25-26,1.000000,0.046892,0.044236,-0.002657,-0.003227,-0.002086,0.041157
nonstat_step_noisecorr,60,14,rtr,27-28,1.000000,0.046892,0.043628,-0.003265,-0.003831,-0.002698,0.040868
nonstat_decay_coupling,30,1,sts,1-1,0.000000,0.094214,0.058701,-0.035513,-0.036548,-0.034478,0.074688
nonstat_decay_coupling,30,2,sts,2-2,0.000000,0.094214,0.058070,-0.036144,-0.037162,-0.035126,0.073469
nonstat_decay_coupling,30,3,sts,3-3,0.000000,0.094214,0.058697,-0.035518,-0.036547,-0.034488,0.074303
nonstat_decay_coupling,30,4,sts,4-4,0.000000,0.094214,0.058527,-0.035687,-0.036708,-0.034666,0.073658
nonstat_decay_coupling,30,5,sts,5-5,0.000000,0.094214,0.059430,-0.034784,-0.035822,-0.033747,0.074876
nonstat_decay_coupling,30,6,sts,6-6,0.000000,0.094214,0.059400,-0.034814,-0.035850,-0.033778,0.074747
nonstat_decay_coupling,30,7,sts,7-7,0.000000,0.094214,0.058882,-0.035332,-0.036357,-0.034307,0.073958
nonstat_decay_coupling,30,8,sts,8-8,0.000000,0.094214,0.059148,-0.035066,-0.036090,-0.034042,0.073887
nonstat_decay_coupling,30,9,sts,9-9,0.915400,0.040002,0.033731,-0.006271,-0.006952,-0.005590,0.049138
nonstat_decay_coupling,30,10,sts,10-10,1.000000,0.038026,0.031294,-0.006732,-0.007361,-0.006104,0.045364
nonstat_decay_coupling,30,11,sts,11-11,0.938500,0.039456,0.032426,-0.007029,-0.007689,-0.006370,0.047618
nonstat_decay_coupling,30,12,sts,12-12,0.846200,0.041669,0.034577,-0.007093,-0.007785,-0.006400,0.049951
nonstat_decay_coupling,30,13,sts,13-13,0.730800,0.044550,0.037223,-0.007327,-0.008069,-0.006586,0.053500
nonstat_decay_coupling,30,14,sts,14-14,0.630800,0.047144,0.039405,-0.007739,-0.008518,-0.006961,0.056195
nonstat_decay_coupling,30,15,sts,15-15,0.546200,0.049408,0.041341,-0.008067,-0.008866,-0.007268,0.057649
nonstat_decay_coupling,30,16,sts,16-16,0.476900,0.051306,0.044369,-0.006937,-0.007784,-0.006090,0.061141
nonstat_decay_coupling,30,17,sts,17-17,0.400000,0.053457,0.046149,-0.007309,-0.008182,-0.006435,0.063003
nonstat_decay_coupling,30,18,sts,18-18,0.346200,0.054988,0.047902,-0.007086,-0.007985,-0.006187,0.064858
nonstat_decay_coupling,30,19,sts,19-19,0.261500,0.057439,0.050732,-0.006707,-0.007631,-0.005783,0.066656
nonstat_decay_coupling,30,20,sts,20-20,0.215400,0.063888,0.051068,-0.012820,-0.013755,-0.011886,0.067431
nonstat_decay_coupling,30,21,sts,21-21,0.184600,0.068431,0.052818,-0.015613,-0.016587,-0.014638,0.070285
nonstat_decay_coupling,30,22,sts,22-22,0.146200,0.074001,0.054049,-0.019952,-0.020925,-0.018979,0.070216
nonstat_decay_coupling,30,23,sts,23-23,0.130800,0.076205,0.054522,-0.021684,-0.022672,-0.020695,0.071327
nonstat_decay_coupling,30,24,sts,24-24,0.107700,0.079479,0.054944,-0.024535,-0.025530,-0.023540,0.071787
nonstat_decay_coupling,30,25,sts,25-25,0.084600,0.082714,0.055917,-0.026797,-0.027798,-0.025795,0.072239
nonstat_decay_coupling,30,26,sts,26-26,0.069200,0.084848,0.055843,-0.029006,-0.030008,-0.028004,0.072293
nonstat_decay_coupling,30,27,sts,27-27,0.076900,0.083783,0.056735,-0.027049,-0.028058,-0.026039,0.072816
nonstat_decay_coupling,30,28,sts,28-28,0.046200,0.088002,0.058181,-0.029821,-0.030864,-0.028778,0.075261
nonstat_decay_coupling,30,1,rtr,1-1,0.000000,0.013658,0.020503,0.006845,0.006403,0.007287,0.031895
nonstat_decay_coupling,30,2,rtr,2-2,0.000000,0.013658,0.020520,0.006863,0.006420,0.007305,0.031941
nonstat_decay_coupling,30,3,rtr,3-3,0.000000,0.013658,0.020417,0.006759,0.006320,0.007198,0.031698
nonstat_decay_coupling,30,4,rtr,4-4,0.000000,0.013658,0.020300,0.006643,0.006216,0.007070,0.030815
nonstat_decay_coupling,30,5,rtr,5-5,0.000000,0.013658,0.020422,0.006765,0.006330,0.007199,0.031365
nonstat_decay_coupling,30,6,rtr,6-6,0.000000,0.013658,0.020622,0.006964,0.006524,0.007404,0.031756
nonstat_decay_coupling,30,7,rtr,7-7,0.000000,0.013658,0.020456,0.006798,0.006363,0.007233,0.031381
nonstat_decay_coupling,30,8,rtr,8-8,0.000000,0.013658,0.020816,0.007158,0.006709,0.007606,0.032351
nonstat_decay_coupling,30,9,rtr,9-9,0.915400,0.075596,0.050124,-0.025472,-0.026335,-0.024608,0.062310
nonstat_decay_coupling,30,10,rtr,10-10,1.000000,0.085980,0.055281,-0.030699,-0.031623,-0.029774,0.066690
nonstat_decay_coupling,30,11,rtr,11-11,0.938500,0.078315,0.052482,-0.025833,-0.026738,-0.024929,0.065244
nonstat_decay_coupling,30,12,rtr,12-12,0.846200,0.067932,0.047942,-0.019990,-0.020831,-0.019150,0.060663
nonstat_decay_coupling,30,13,rtr,13-13,0.730800,0.056604,0.042520,-0.014084,-0.014836,-0.013331,0.054318
nonstat_decay_coupling,30,14,rtr,14-14,0.630800,0.048069,0.039466,-0.008602,-0.009332,-0.007872,0.052682
nonstat_decay_coupling,30,15,rtr,15-15,0.546200,0.041658,0.035412,-0.006246,-0.006912,-0.005580,0.048048
nonstat_decay_coupling,30,16,rtr,16-16,0.476900,0.036901,0.034228,-0.002673,-0.003321,-0.002025,0.046732
nonstat_decay_coupling,30,17,rtr,17-17,0.400000,0.032096,0.031024,-0.001072,-0.001677,-0.000467,0.043646
nonstat_decay_coupling,30,18,rtr,18-18,0.346200,0.029007,0.029427,0.000420,-0.000157,0.000998,0.041679
nonstat_decay_coupling,30,19,rtr,19-19,0.261500,0.024564,0.026986,0.002422,0.001872,0.002972,0.039701
nonstat_decay_coupling,30,20,rtr,20-20,0.215400,0.022347,0.025869,0.003522,0.002994,0.004049,0.038043
nonstat_decay_coupling,30,21,rtr,21-21,0.184600,0.020940,0.024747,0.003807,0.003301,0.004312,0.036477
nonstat_decay_coupling,30,22,rtr,22-22,0.146200,0.019267,0.023787,0.004520,0.004028,0.005011,0.035479
