# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=18ad8b4
subject,condition,bin,synergy_mean
7,PCB,0,1.322402
7,PCB,1,1.421916
7,PCB,2,1.391946
7,PCB,3,1.188560
7,PCB,4,1.281256
7,PCB,5,1.206694
7,PCB,6,1.565191
7,PCB,7,1.355031
7,PCB,8,1.336621
7,PCB,9,1.308092
7,PCB,10,1.435116
7,PCB,11,1.447762
7,PCB,12,1.240136
7,PCB,13,1.284122
7,PCB,14,1.349066
7,PCB,15,1.572602
7,PCB,16,1.511634
7,PCB,17,1.520335
7,PCB,18,1.654576
7,PCB,19,1.636665
7,PCB,20,1.315571
7,PCB,21,1.551473
7,PCB,22,1.519940
7,PCB,23,1.435930
7,PCB,24,1.482089
7,PCB,25,1.543197
7,PCB,26,1.457111
7,PCB,27,1.513894
8,DMT,0,1.387976
8,DMT,1,1.232844
8,DMT,2,1.458591
8,DMT,3,1.454911
8,DMT,4,1.330839
8,DMT,5,1.441165
8,DMT,6,1.634513
8,DMT,7,1.273810
8,DMT,8,1.192055
8,DMT,9,1.308779
8,DMT,10,1.223791
8,DMT,11,1.274036
8,DMT,12,1.242129
8,DMT,13,1.291116
8,DMT,14,1.262020
8,DMT,15,1.317193
8,DMT,16,1.256420
8,DMT,17,1.261360
8,DMT,18,1.307750
8,DMT,19,1.198813
8,DMT,20,1.307564
8,DMT,21,1.329619
8,DMT,22,1.238262
8,DMT,23,1.199213
8,DMT,24,1.265981
8,DMT,25,1.138051
8,DMT,26,1.187123
8,DMT,27,1.338365
8,PCB,0,1.401720
8,PCB,1,1.252572
8,PCB,2,1.269058
8,PCB,3,1.401231
8,PCB,4,1.307580
8,PCB,5,1.298688
8,PCB,6,1.523919
8,PCB,7,1.290644
8,PCB,8,1.363566
8,PCB,9,1.267856
8,PCB,10,1.253634
8,PCB,11,1.309927
8,PCB,12,1.329893
8,PCB,13,1.227226
8,PCB,14,1.320128
8,PCB,15,1.322212
8,PCB,16,1.463458
8,PCB,17,1.458888
8,PCB,18,1.455069
8,PCB,19,1.381684
8,PCB,20,1.026598
8,PCB,21,1.326205
8,PCB,22,1.218209
8,PCB,23,1.258858
8,PCB,24,1.484446
8,PCB,25,1.408268
8,PCB,26,1.459438
8,PCB,27,1.506367
9,DMT,0,1.293967
9,DMT,1,1.245772
9,DMT,2,1.179558
9,DMT,3,1.564135
9,DMT,4,1.173310
9,DMT,5,1.302672
9,DMT,6,1.555767
9,DMT,7,1.471614
9,DMT,8,1.202665
9,DMT,9,1.219963
9,DMT,10,1.206552
9,DMT,11,1.205741
9,DMT,12,1.220531
9,DMT,13,1.262130
9,DMT,14,1.246608
9,DMT,15,0.966799
9,DMT,16,1.128980
9,DMT,17,1.279752
9,DMT,18,1.230039
9,DMT,19,1.310831
9,DMT,20,1.261807
9,DMT,21,1.199867
9,DMT,22,1.309260
9,DMT,23,1.424069
9,DMT,24,1.302824
9,DMT,25,1.413833
9,DMT,26,1.606993
9,DMT,27,1.444267
9,PCB,0,1.266779
9,PCB,1,1.294863
9,PCB,2,1.169935
9,PCB,3,1.315209
9,PCB,4,1.550426
9,PCB,5,1.296444
9,PCB,6,1.233652
9,PCB,7,1.190456
9,PCB,8,1.198576
9,PCB,9,1.233753
9,PCB,10,1.373873
9,PCB,11,1.374352
9,PCB,12,1.273380
